no,ort_tuketim_1,ort_tuketim_2,ort_tuketim_3,ort_tuketim_4,ort_tuketim_5,ort_tuketim_6,ort_tuketim_7,ort_tuketim_8,ort_tuketim_9,ort_tuketim_10,ort_tuketim_11,ort_tuketim_12,ort_tuketim_13,ort_tuketim_14,ort_tuketim_15,ort_tuketim_16,ort_tuketim_17,ort_tuketim_18,ort_tuketim_19,ort_tuketim_20,ort_tuketim_21,ort_tuketim_22,ort_tuketim_23,ort_tuketim_24,ort_tuketim_25,ort_tuketim_26,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,demand_20,demand_21,demand_22,demand_23,demand_24,demand_25,demand_26,type,kacak
35,501.236,501.246,502.314,502.368,502.364,501.67,501.625,501.978,550.602,560.324,490.687,480.6987,500.697,520.671,536.214,435.954,465.698,81.789,80.364,75.348,98.247,66.247,85.981,80.364,93.302,90.147,0.642,0.754,0.744,0.654,0.672,0.534,0.732,0.654,0.542,0.721,0.647,0.322,0.673,0.764,0.643,0.763,0.675,0.121,0.096,0.094,0.112,0.099,0.095,0.098,0.067,0.056,Ticarethane Genel,1
36,15452.78,18768.57,21700.72,24799.16,27800.07,31042.46,35275.4,39761.02,46840.7,53846.55,61650.699,67265.908,71332.423,74639.738,78012.971,81365.625,84598.324,88431.833,91890.7,96345.499,102379.844,98345.21,92578.32,98235.98,100345.89,81443.78,11.724,10.976,9.36,11.188,10.328,10.072,13.252,12.16,14.736,15.692,14.504,14.22,14.548,15.74,14.91,18.684,18.096,18.792,19.964,17.532,18.192,19.184,18.543,19.08,19.986,18.585,Ticarethane Genel,0
37,504.945,520.247,503.149,550.364,499.203,510.782,515.465,523.032,514.874,600.23,506.398,550.789,600.146,547.321,568.498,525.7,173.493,105.322,109.222,125.344,125.409,120.34,117.23,107.78,104.698,103.76,0.372,0.32,0.408,0.444,0.416,0.441,0.421,0.413,0.428,0.416,0.412,0.452,0.412,0.444,0.453,0.512,0.111,0.025,0.012,0.113,0.091,0.092,0.034,0.098,0.081,0.097,Ticarethane Genel,1
38,1733.499,1784.397,1872.602,1675.698,1717.745,1782.611,1992.979,2457.76,2132.45,2100.637,2008.543,2186.98,2180.34,2265.09,2132.86,2203.87,2203.44,2033.5,2088.653,1946.923,2344.944,2189.644,2002.8,1953.67,2150.43,2298.77,2.356,2.712,2.652,2.692,3.352,3.008,3.556,2.345,2.908,3.123,3.209,3.263,3.11,3.709,3.128,3.103,3.389,3.643,3.076,3.213,3.675,3.054,3.274,3.876,3.263,3.266,Ticarethane Genel,0
39,1785.209,1816.544,1727.19,1950.315,2065.35,1994.472,1962.236,1898.324,1989.147,2959.357,2879.348,2741.398,2949.103,2778.106,2987.246,2921.625,2965.17,2893.2,2812.98,2756.016,2771.36,2747.3,2876.81,2742.14,2001.002,2879.2,1.812,1.412,1.254,2.028,2.282,2.506,2.1026,2.203,2.398,2.449,2.523,2.542,2.506,2.616,2.226,2.315,2.414,2.484,2.512,2.426,2.667,2.414,2.436,2.325,2.568,2.489,Ticarethane Genel,0
40,8654.062,8959.623,8273.046,12112.575,17512.435,22306.521,26415.024,30627.258,35025.229,33252.21,29852.18,29505.21,26559.15,28515.56,30756.25,31258.25,29552.55,28875.54,29569.56,34166.62,33526.85,37515.25,30515.61,33255.54,31752.65,35551.51,12.262,11.225,12.808,12.122,11.192,12.72,11.116,11.992,16.68,16.12,17.322,17.432,17.213,18.342,17.237,18.329,19.424,19.352,19.345,19.426,19.573,19.324,19.578,17.562,18.452,18.452,Ticarethane Genel,0
41,4245.91,5343.12,6152.15,7545.15,9181.16,10165.26,11594.64,12152.15,11158.15,14156.15,10168.15,10556.18,10191.26,9265.68,9558.19,9159.21,15158.58,15155.88,16158.58,15188.64,16158.15,15158.18,16158.19,15156.58,15188.84,15184.18,4.152,4.203,4.026,4.523,4.036,4.024,4.362,4.198,4.157,3.698,4.589,6.187,7.002,7.023,6.185,6.003,6.601,6.587,6.514,6.526,6.631,6.769,6.414,6.268,7.012,7.398,Ticarethane Genel,0
42,21313.47,28127.19,34372.352,30192.405,34851.574,39385.036,43803.037,48649.402,53566.772,58888.546,65213.334,71641.042,73165.216,74159.19,71186.88,69188.19,77215.15,74158.91,74158.16,72185.15,73281.29,75155.15,75252.25,73128.18,72155.15,70186.92,13.024,15.492,14.528,13.54,12.824,13.032,13.476,14.712,12.616,12.952,14.312,15.265,14.156,15.156,14.156,11.155,13.156,11.193,14.159,15.192,15.186,14.189,15.846,18.168,14.151,14.186,Ticarethane Genel,0
44,14549.46,14569.63,11586.59,16586.29,14156.19,13586.49,14186.98,14182.29,14159.19,14185.48,14186.91,14188.58,17186.29,11182.48,15118.18,13198.26,15168.26,14156.61,15265.15,13251.51,16156.26,14216.66,15193.16,14193.296,15268.36,15322.161,5.192,5.321,5.221,5.304,4.096,5.212,5.048,5.05,5.02,6.51,4.28,4.51,5.184,5.305,5.315,6.038,5.545,4.943,5.348,5.395,5.932,5.735,5.533,5.258,4.385,5.74,Ticarethane Genel,0
46,1343.016,1033.685,1234.321,1837.467,1447.075,1684.592,1825.205,1844.952,1387.753,1890.491,1785.145,2037.13,2223.127,2190.402,2288.296,2148.29,2196.83,2281.52,2985.25,2189.95,2258.18,2251.55,2255.51,2755.52,3052.65,2925.55,1.32,0.997,0.976,1.22,1.24,1.244,1.288,1.292,1.272,1.336,1.356,1.97,1.99,2.124,2.143,2.525,2.325,2.518,2.166,1.825,1.845,1.825,1.869,1.951,1.952,1.929,Sanayi,0
48,1078.872,1386.929,1387.065,1393.558,1407.455,1429.997,1453.743,1470.286,1480.96,1490.859,1502.567,1514.37,1529.62,1125.92,1295.61,1218.29,1516.15,1158.29,1152.25,1518.52,1268.56,1515.29,1128.261,1515.29,1821.28,1818.12,1.365,1.423,1.525,1.665,1.597,1.625,2.247,2.369,2.245,2.365,2.002,2.365,2.684,2.574,2.625,2.425,2.251,2.516,2.351,2.516,2.716,2.615,2.623,2.701,2.542,2.411,Ticarethane Genel,0
50,194.126,199.612,219.774,237.766,256.446,272.239,288.002,303.495,316.759,305.598,309.051,310.191,311.819,325.105,301.315,308.519,307.211,307.128,304.486,304.181,328.051,305.181,309.218,307.153,308.215,301.156,0.324,0.328,0.308,0.312,0.336,0.312,0.314,0.372,0.284,0.299,0.278,0.365,0.378,0.398,0.375,0.357,0.378,0.368,0.379,0.351,0.355,0.305,0.336,0.376,0.381,0.305,Mesken Genel,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ticarethane Genel,1
52,250.321,212.927,276.013,382.733,587.993,785.628,982.049,1213.806,1408.581,1660.336,1925.048,2203.013,2363.289,2535.874,2828.184,3010.47,3026.16,3065.62,3056.96,3206.26,3265.06,3012.26,3052.26,3056.26,3062.26,3062.29,0.0,1.928,1.924,1.828,1.008,1.244,1.202,0.926,1.208,1.468,1.46,1.508,1.34,2.622,2.788,3.036,3.025,3.051,3.215,3.051,3.425,3.485,3.023,3.188,3.025,3.248,Mesken Genel,0
